"2019/02/15 Statistics of Order Book & Trade per 5 Seconds"
"Time","Acc. Bid Orders","Acc. Bid Volume","Acc. Ask Orders","Acc. Ask Volume","Acc. Transaction","Acc. Trade Volume","Acc. Trade Value (NT$M)",
="09:16:35","841,824","18,733,322","845,580","7,851,053","163,597","897,370","18,025",
="09:16:40","844,407","18,727,580","848,455","7,854,970","164,072","899,985","18,083",
="09:16:45","846,856","18,753,211","851,323","7,858,044","164,604","902,896","18,144",
="09:16:50","849,974","18,776,721","854,937","7,877,132","165,078","905,617","18,184",
="09:16:55","852,131","18,804,574","857,371","7,893,050","165,529","907,779","18,227",
="09:17:00","854,496","18,799,652","859,950","7,882,216","166,142","913,859","18,291",
="09:17:05","856,690","18,798,955","862,332","7,880,430","166,717","917,896","18,355",
="09:17:10","859,029","18,844,799","864,884","7,899,783","167,261","922,064","18,415",
="09:17:15","861,894","18,844,537","867,970","7,914,536","167,880","925,779","18,489",
="09:17:20","863,765","18,851,072","870,048","7,923,203","168,370","928,378","18,540",
="09:17:25","866,773","18,840,654","873,408","7,911,513","168,930","933,496","18,605",
="09:17:30","869,286","18,877,687","876,185","7,930,966","169,454","936,575","18,669",
="09:17:35","871,478","18,922,880","878,804","7,946,376","169,928","938,219","18,720",
="09:17:40","874,361","18,907,493","882,308","7,954,715","170,517","942,837","18,780",
="09:17:45","876,769","18,934,895","884,981","7,970,646","171,097","945,685","18,832",
="09:17:50","879,182","18,930,203","887,611","7,985,848","171,646","949,264","18,876",
="09:17:55","881,217","18,918,965","890,075","7,983,629","172,142","951,471","18,934",
="09:18:00","883,606","18,952,159","892,667","7,992,513","172,677","955,935","18,983",
="09:18:05","886,365","18,922,058","895,701","7,996,348","173,182","959,337","19,039",
="09:18:10","888,413","18,936,147","898,280","7,988,928","173,641","961,254","19,080",
="09:18:15","890,899","18,950,915","901,022","8,002,715","174,098","963,425","19,128",
="09:18:20","893,749","18,895,771","904,584","7,993,199","174,705","969,484","19,185",
="09:18:25","895,800","18,983,775","907,027","8,024,550","175,114","972,667","19,227",
="09:18:30","897,880","18,977,565","909,671","8,031,965","175,595","975,124","19,269",
="09:18:35","899,726","19,001,563","912,018","8,035,462","176,007","978,056","19,310",
="09:18:40","901,027","19,022,309","913,981","8,070,761","176,402","980,184","19,353",
="09:18:45","902,656","19,016,155","916,227","8,065,962","176,792","981,645","19,386",
="09:18:50","904,855","19,011,810","918,748","8,058,073","177,269","984,932","19,428",
="09:18:55","907,463","19,002,462","921,731","8,060,013","177,695","986,955","19,470",
="09:19:00","910,258","18,976,882","924,828","8,038,937","178,288","991,444","19,527",
="09:19:05","912,981","19,026,432","927,665","8,056,956","178,738","993,470","19,564",
="09:19:10","915,628","19,036,186","930,510","8,074,001","179,237","996,389","19,609",
="09:19:15","919,004","19,049,484","933,893","8,082,329","179,742","1,000,411","19,660",
="09:19:20","921,542","19,002,692","936,719","8,073,445","180,152","1,001,977","19,705",
="09:19:25","923,657","19,030,730","939,146","8,088,667","180,538","1,003,876","19,747",
="09:19:30","925,963","19,021,031","941,709","8,085,804","180,990","1,005,481","19,785",
="09:19:35","928,506","19,005,952","944,966","8,081,194","181,375","1,007,790","19,815",
="09:19:40","930,548","19,041,792","947,249","8,056,860","181,794","1,010,228","19,849",
="09:19:45","933,462","19,068,047","950,539","8,053,026","182,244","1,012,193","19,888",
="09:19:50","935,913","19,115,490","953,321","8,066,659","182,721","1,015,310","19,938",
="09:19:55","938,376","19,122,385","955,922","8,074,303","183,318","1,018,908","20,000",
="09:20:00","940,250","19,159,296","958,382","8,078,316","183,695","1,020,870","20,034",
="09:20:05","942,075","19,147,172","960,563","8,073,877","184,105","1,022,719","20,075",
="09:20:10","945,010","19,179,768","963,774","8,086,491","184,541","1,025,171","20,119",
="09:20:15","947,469","19,161,099","966,663","8,082,449","184,972","1,029,044","20,166",
="09:20:20","950,226","19,138,447","969,694","8,073,163","185,429","1,032,622","20,213",
="09:20:25","953,227","19,165,883","973,172","8,097,133","186,000","1,036,807","20,265",
="09:20:30","955,502","19,169,849","975,997","8,096,667","186,439","1,038,707","20,310",
="09:20:35","957,402","19,182,498","978,431","8,099,590","186,891","1,040,455","20,368",
="09:20:40","960,191","19,176,847","981,730","8,102,437","187,372","1,043,974","20,421",
="09:20:45","962,401","19,184,591","984,147","8,088,080","187,764","1,046,054","20,469",
="09:20:50","965,020","19,200,997","987,125","8,100,923","188,145","1,047,246","20,506",
="09:20:55","967,698","19,188,112","990,155","8,115,436","188,599","1,053,123","20,554",
="09:21:00","970,148","19,167,706","993,006","8,086,840","189,011","1,055,318","20,588",
="09:21:05","972,564","19,178,970","995,869","8,119,500","189,420","1,056,989","20,626",
="09:21:10","974,929","19,190,950","998,530","8,116,502","190,029","1,060,018","20,680",
="09:21:15","977,618","19,170,374","1,001,435","8,112,448","190,638","1,067,594","20,730",
="09:21:20","981,564","19,161,748","1,005,675","8,113,203","191,281","1,073,537","20,785",
="09:21:25","984,166","19,175,509","1,008,552","8,119,012","191,916","1,077,211","20,855",
="09:21:30","986,312","19,132,837","1,011,005","8,137,953","192,457","1,080,974","20,902",
="09:21:35","988,551","19,112,713","1,013,810","8,143,018","193,042","1,083,946","20,952",
="09:21:40","991,348","19,111,580","1,016,956","8,146,052","193,711","1,089,378","21,010",
="09:21:45","993,659","19,099,890","1,019,386","8,140,137","194,495","1,093,335","21,067",
="09:21:50","996,464","19,124,615","1,022,346","8,158,612","195,056","1,098,462","21,116",
="09:21:55","999,297","19,145,939","1,025,681","8,159,394","195,564","1,101,792","21,180",
="09:22:00","1,001,720","19,181,059","1,028,574","8,167,441","195,977","1,103,539","21,218",
="09:22:05","1,004,446","19,190,332","1,031,691","8,163,583","196,498","1,106,455","21,271",
="09:22:10","1,007,073","19,223,633","1,034,614","8,168,353","196,924","1,108,064","21,316",
="09:22:15","1,009,325","19,237,564","1,037,183","8,182,780","197,330","1,110,441","21,359",
="09:22:20","1,011,922","19,239,577","1,040,468","8,186,205","197,837","1,115,072","21,412",
="09:22:25","1,014,164","19,250,817","1,043,158","8,186,484","198,246","1,117,065","21,451",
="09:22:30","1,016,183","19,263,644","1,045,630","8,209,033","198,638","1,118,527","21,492",
="09:22:35","1,018,647","19,295,857","1,048,245","8,216,781","199,062","1,121,008","21,528",
="09:22:40","1,020,476","19,279,876","1,050,340","8,223,388","199,434","1,122,981","21,560",
="09:22:45","1,023,471","19,269,205","1,053,543","8,236,517","199,859","1,125,290","21,599",
="09:22:50","1,025,923","19,269,626","1,056,179","8,228,949","200,380","1,128,262","21,659",
="09:22:55","1,027,914","19,274,307","1,058,730","8,238,232","200,744","1,130,219","21,697",
="09:23:00","1,029,797","19,266,227","1,061,228","8,253,843","201,103","1,131,562","21,729",
="09:23:05","1,032,087","19,291,523","1,063,975","8,257,899","201,461","1,133,402","21,770",
="09:23:10","1,033,632","19,273,950","1,066,034","8,256,794","201,824","1,134,934","21,805",
="09:23:15","1,035,607","19,263,730","1,068,272","8,268,393","202,263","1,137,029","21,847",
